600,"5000000111","1000",2026,"2026-07-31","RE","\N","\N","USD",5401,111,"2026-07-31 22:17:14.020"
1,"5000000004","1000",2026,"2026-07-25","RE","\N","\N","USD",7157,4,"2026-07-25 19:52:44.656"
2,"5000000007","1000",2026,"2026-07-25","RE","\N","\N","USD",2722,7,"2026-07-25 19:54:49.204"
101,"5000000016","1000",2026,"2026-07-29","RE","\N","\N","USD",6684,16,"2026-07-29 08:29:55.971"
201,"5000000019","1000",2026,"2026-07-29","RE","\N","\N","USD",6895,19,"2026-07-29 08:44:21.243"
102,"5000000021","1000",2026,"2026-07-29","RE","\N","\N","USD",5692,21,"2026-07-29 08:51:16.212"
103,"5000000033","1000",2026,"2026-07-29","RE","\N","\N","USD",3056,33,"2026-07-29 08:51:34.755"
202,"5000000035","1000",2026,"2026-07-29","RE","\N","\N","USD",5785,35,"2026-07-29 08:53:32.548"
203,"5000000039","1000",2026,"2026-07-29","RE","\N","\N","USD",5344,39,"2026-07-29 08:54:59.806"
104,"5000000046","1000",2026,"2026-07-29","RE","\N","\N","USD",7639,46,"2026-07-29 08:57:42.478"
105,"5000000051","1000",2026,"2026-07-29","RE","\N","\N","USD",3569,51,"2026-07-29 09:02:27.484"
204,"5000000056","1000",2026,"2026-07-29","RE","\N","\N","USD",2366,56,"2026-07-29 09:07:20.288"
205,"5000000060","1000",2026,"2026-07-29","RE","\N","\N","USD",6488,60,"2026-07-29 23:13:21.298"
206,"5000000066","1000",2026,"2026-07-29","RE","\N","\N","USD",4326,66,"2026-07-29 23:14:03.671"
301,"5000000076","1000",2026,"2026-07-30","RE","\N","\N","USD",4994,76,"2026-07-30 14:58:11.878"
401,"5000000088","1000",2026,"2026-07-31","RE","\N","\N","USD",3284,88,"2026-07-31 08:12:09.279"
501,"5000000097","1000",2026,"2026-07-31","RE","\N","\N","USD",5856,97,"2026-07-31 17:40:24.244"
402,"5000000098","1000",2026,"2026-07-31","RE","\N","\N","USD",5755,98,"2026-07-31 19:16:05.952"
403,"5000000102","1000",2026,"2026-07-31","RE","\N","\N","USD",3977,102,"2026-07-31 20:13:02.951"
404,"5000000107","1000",2026,"2026-07-31","RE","\N","\N","USD",3624,107,"2026-07-31 20:16:14.960"
700,"5000000116","1000",2026,"2026-08-01","RE","\N","\N","USD",6507,116,"2026-08-01 13:30:14.018"
701,"5000000145","1000",2026,"2026-07-31","RE","\N","\N","USD",4602,145,"2026-07-31 23:47:28.282"
702,"5000000148","1000",2026,"2026-07-31","RE","\N","\N","USD",4336,148,"2026-07-31 23:47:34.421"
800,"5000000163","1000",2026,"2026-08-01","RE","\N","\N","USD",3454,163,"2026-08-01 20:50:49.496"
801,"5000000173","1000",2026,"2026-08-01","RE","\N","\N","USD",7147,173,"2026-08-01 22:06:20.121"
802,"5000000190","1000",2026,"2026-08-01","RE","\N","\N","USD",5455,190,"2026-08-01 22:06:40.566"
803,"5000000193","1000",2026,"2026-08-01","RE","\N","\N","USD",4320,193,"2026-08-01 22:08:03.815"
